"","accessionID","accessionName","accessionDescription","fromGenebank","fromGenebankID","fromGenebankID2","spp","speciesName","taxonomyID","subTaxaID","gpsLat","gpsLat_txt","gpsLong","gpsLong_txt","adm1","adm2","collectionSiteCountry","adm0","collectionSite","collectionSiteDetails","collectionSiteProvence","collectionDate","colNu_IPD","elevation","chromosomeNumber","germplasmStatus","MTA","ploidy","storageID","remarkID","dateCreated","lastUpdate"
"81","EA00081","Hick's Nepalese",NA,"C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"82","EA00082","High Crimson",NA,"C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"83","EA00083","HUGE BLACK","Large black beefsteak","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"84","EA00084","HUMPH","indet, large green when ripe","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"85","EA00085","Hungarian Heart","indet, large pink heart","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"86","EA00086","ICE","indet","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"87","EA00087","ILSE'S YELLOW","indet","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"88","EA00088","Imperial",NA,"C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"89","EA00089","Indian Moon",NA,"C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"90","EA00090","INDIAN RESERVATION","indet","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
